Название,Группа товара,Цена,Наличие
JustVision by Semorr JVM C Optima  ,мобильный операционный микроскоп с 6-ти ступенчат...,591 270 ₽,на складе
JustVision by Semorr JVM B Simple  ,мобильный операционный микроскоп с 5-ти ступенчат...,535 840 ₽,на складе
Dentsply Sirona T2 Line AH 40 L  ,"прямой наконечник с внутренним спреем, со светом, 1:1",19 990 ₽,в наличии
DTE PD3  ,"насадка для скалеров Woodpecker, пародонтологическая (подходит к DTE, Satel...",800 ₽,на складе
Woodpecker HW3H  ,универсальный автоклавируемый наконечник для скалеров серии UDS,14 400 ₽,на складе
W&H AM25 ,А RM - пневматический микромотор для прямых и угловых наконечников с внутре...,30 500 ₽,на складе
Renfert Twister venturi  ,вакуумный смеситель,91 990 ₽,на складе
Ultradent VALO Cordless  ,беспроводная светодиодная фотополимеризационная лампа c тре...,121 900 ₽,на складе
DTE D1  ,"портативный ультразвуковой скалер, 5 насадок в комплекте",17 300 ₽,Под заказ
Azimut 300A MO  ,"стоматологическая установка с нижней подачей инструментов, мягкой об...",280 850 ₽,на складе
Geosoft UltraEst M  ,ультразвуковая ванна для предстерилизационной очистки и дезинфек...,41 200 ₽,на складе
Woson TANZO C12  ,"автоматический автоклав B-класса, 12 л",144 000 ₽,на складе
Amazing White Universal Whitening Kit Celebrity EXTRA 37% + activator agent ,на 4 перс...,5 300 ₽,на складе
NSK Nakanishi NSK Irrigation Tube  ,ирригационные шланги для физиодиспенсеров Surgic ...,10 500 ₽,на складе
Geosoft Endoestapex02 ,С - апекслокатор с коррекцией,32 000 ₽,на складе
Renfert MT plus  ,"триммер для мокрой и сухой обработки, с диском Klettfix",134 700 ₽,Под заказ
Vilitek VBS1  ,"стандартная ультразвуковая ванна с механическим таймером, без подогре...",20 060 ₽,на складе
Werther Rondine  ,безмасляный воздушный компрессор (120 л/мин) на 1 установку,51 930 ₽,на складе
,"Амико Фартук стоматологический Pb=0,35 для пациента (резина)",9 980 ₽,на складе
Forum Engineering Technologies Bingo Pro  ,полностью автоматический апекслокатор с фу...,52 560 ₽,на складе
KaVo EXPERTmatic LUX E25 L  ,"повышающий угловой наконечник с подсветкой, 1:5, 3-й вну...",43 110 ₽,на складе
Dentsply Sirona T3 LINE E 200  ,"повышающий угловой наконечник без света, 1:5",21 990 ₽,в наличии
Roder Dentalinstrumente Art 70  ,окклюзионное кристаллическое зеркало для дентальной ...,4 800 ₽,на складе
,Ферропласт КБ-Я-ФП - ультрафиолетовая бактерицидная камера для хранения стерильного и...,36 220 ₽,на складе
Codyson CD4810  ,"ультразвуковая мойка с подогревом, 2 л",7 700 ₽,на складе
Saeyang Marathon 4  ,портативный щеточный зуботехнический микромотор с наконечником H...,10 640 ₽,на складе
