Название,Группа товара,Цена,Наличие
Dezaurum ,"Дез-2 - средство дезинфицирующее для поверхностей и оборудования, канистра, ...",1 490 ₽,на складе
Renfert ,"Отрезной диск, диаметр-37 x 1 мм, 100 шт",3 300 ₽,Под заказ
Durr Dental ,"Прицельное кольцо DUO для передних и задних зубов, 1 шт.",1 910 ₽,на складе
Ivoclar Vivadent Heliobond Refill  ,"материал стоматологический пломбировочный, 6 г",5 700 ₽,Под заказ
,Армед L7412 - хирургический передвижной светильник,Свяжитесь с нами насчёт цены,Под заказ
Durr Dental ,Прицельное кольцо для эндодонтической проекции,2 520 ₽,на складе
Durr Dental ,"Прицельное кольцо c направляющим окном 2х3 для передних зубов, вертикальное",5 120 ₽,на складе
Asa Dental ,"Ножницы хирургические прямые, 11,5 см",1 590 ₽,на складе
SAM ART 548  ,комплект для Беннета и суставного пути 3 для артикулятора 3,17 580 ₽,на складе
Eve ,Полир EVEFLEX PINS 82 (100 шт.),3 500 ₽,Под заказ
Philips HeartStart Case  ,сумка для дефибриллятора FRx,9 450 ₽,на складе
Aesculap DA045R  ,"зеркало стоматологическое, изогнутое на 45°, диам. 2 мм ( уп.10шт.)",9 500 ₽,Под заказ
Durr Dental ,Прицельное кольцо для задних зубов,2 390 ₽,на складе
,"Медторг+ ДП-2.01 - электрический бесщеточный микромотор, без внутреннего спрея, без п...",11 900 ₽,на складе
CMS Dental ,Пластиковые насадки Fotosan 630 blunt 8 мм (50 шт./уп.),1 900 ₽,на складе
Runyes ,Чехлы для камеры,3 550 ₽,на складе
Eve ,Полир Diacera H8DCmf (10 шт.),5 990 ₽,Под заказ
Lambda ,"Типсы ТЕРАПИЯ - 4 шт (цвет черный), для стоматологического лазера Doctor Smile...",3 640 ₽,на складе
Durr Dental ,"Прицельное кольцо c направляющим окном 2х3 для задних зубов, горизонтальное",4 870 ₽,на складе
Dezaurum ,"Альфа-Септ - средство дезинфицирующее (кожный антисептик), без отдушки, флак...",360 ₽,на складе
Ronvig DentoPrep ,Крышка емкости для песка,1 260 ₽,на складе
,Армед ZMD - хирургический потолочный светильник,Свяжитесь с нами насчёт цены,Под заказ
SAM ART 260  ,"резцовый столик, регулируемый",8 900 ₽,на складе
,"Медторг+ АПП-01 - автономный светодиодный негатоскоп, для снимков 30х40 мм",5 900 ₽,на складе
Durr Dental ,"Прицельное кольцо c направляющим окном 3х4 для эндодонтической проекции, ...",4 870 ₽,на складе
Artinox ARE06  ,"тумба с отверстием для приема гипса, накладной мойкой и смесителем, ...",52 730 ₽,Под заказ
Zeiss ,Флуоресцентный модуль,433 400 ₽,на складе
,Система визуализации (внутриротовая проводная камера и монитор),27 300 ₽,на складе
Durr Dental ,"Держатель для эндодонтической проекции, 1 шт.",3 670 ₽,на складе
,"Армед 1-130 МТ - облучатель-рециркулятор медицинский, металлический корпус, цвет белы...",3 500 ₽,Под заказ
Eve ,Полир Diacera H2DCmf (10 шт.),5 800 ₽,Под заказ
Durr Dental ,"Прицельное кольцо c направляющим окном 2х3 для задних зубов, 1 шт.",3 160 ₽,на складе
Dezaurum ,"Дез-6 - средство дезинфицирующее для поверхностей и оборудования, с отдушкой...",1 270 ₽,на складе
Anthogyr ,"Струны для мостоснимателя, 4х95 мм",2 310 ₽,Под заказ
,Аверон СПП 1.0 М - столик подкатной приборный (4 полки),11 900 ₽,на складе
,Аверон БЛОК 3.0 ПНЕВМО - пневморазветвитель на 3 выхода для подключения КУЛЕР 1.0 БМ ...,Свяжитесь с нами насчёт цены,Под заказ
Geosoft GuttaFill 02  ,беспроводной аппарат для обтурации корневых каналов разогретой...,58 000 ₽,на складе
Asa Dental ,"Пинцет хирургический тонкий, прямой, 10 см",1 020 ₽,на складе
iTero 2.9  3D ,сканер интраоральный,Свяжитесь с нами насчёт цены,Под заказ
Durr Dental ,"Резервуар для сбора фиксатора, 20 л.",2 440 ₽,на складе
,"Амико Передник для защиты гонад Pb=0,5 взрослый (резина)",4 380 ₽,на складе
Ivoclar Vivadent IPS Natural Die Material Shade Guide  ,расцветка культевых материалов,5 990 ₽,Под заказ
Durr Dental ,Защитные стекла для насадки Poly (3 шт.),3 430 ₽,на складе
,СпецМедЗащита СИЗ - комплект средств индивидуальной защиты,1 560 ₽,на складе
Dezaurum ,"Дозатор 32/140, трубка 145 мм",150 ₽,в наличии
SolStick ,"Сменная щетка для Wash с переходником, цвет переходника: черный",1 400 ₽,на складе
W&H ,Адаптер к Assistina-301+ для 4-х канальных турбин NSK,3 000 ₽,на складе
,"Армед YX301 - портативный пульсоксиметр на палец, с поверкой",Свяжитесь с нами насчёт цены,Под заказ
W&H Alegra RQ53  ,"быстросъемное соединение, с внутренним спреем, водяной фильтр с об...",10 640 ₽,на складе
KaVo ,Малая насадка для KaVo DIAGNOcam,39 800 ₽,на складе
HLW ,"Пинцет обратный для имплантатов, 1,3/1,9 мм",2 990 ₽,Под заказ
,"Армед 7F-5 - концентратор кислорода, 5 л/мин",71 990 ₽,на складе
SAM ART 530  ,"протрузионные/ретрузионные винты, две штуки для 3",15 190 ₽,на складе
SAM ART 385  ,"комплект со столиком для измерения окклюзионной плоскости для 2P, 2PX и 3",13 690 ₽,на складе
Durr Dental ,"Прицельное кольцо c направляющим окном 3х4 для задних зубов, горизонтальное",5 120 ₽,на складе
,"Амико Воротник рентгенозащитный Pb=0,35 детский (резина)",1 770 ₽,на складе
SAM ART 187  ,комплект для проверки и калибровки,3 440 ₽,на складе
Asa Dental ,"Элеватор прямой, Heidbrink fig.41H",1 330 ₽,на складе
SAM MSF 300K  ,"малый комплект магнит-Splitcast-формирователь, желтый",3 140 ₽,на складе
Renfert ,Термопара для муфельной печи Magma,38 990 ₽,Под заказ
Coxo CX208GK  ,"турбинный наконечник со стандартной головкой, наклоном 45 градусов, с...",22 300 ₽,на складе
Eve ,Полир Diapol W11Dg (10 шт.),3 900 ₽,Под заказ
Coltene Accu Trac  ,"система точной заливки гипсовых моделей, стартовый набор",Свяжитесь с нами насчёт цены,Под заказ
Lambda ,"Типсы ИМПЛАНТОЛОГИЯ - 4 шт (цвет белый), для стоматологического лазера Doctor ...",3 640 ₽,на складе
,"Ферропласт ВУ-12-Я-ФП-03 - ультразвуковая мойка, 27.5 л.",102 730 ₽,Под заказ
HLW 3228  ,щипцы ортодонтические для жесткой проволоки,2 500 ₽,Под заказ
Eve ,Полир Diapro R17DP (10 шт.),15 500 ₽,Под заказ
Ekom AOK 10  ,набор для автоматического слива конденсата для DK50-10 (S) Z,8 570 ₽,на складе
Dezaurum ,"Альфа-Вайп - салфетки для дезинфекции в дой-пак, без отдушки, 120 шт",230 ₽,на складе
Medstore ,"Маска медицинская для защиты дыхательных путей одноразового использования, т...",1 560 ₽,на складе
Artinox ARC225S  ,"шкаф закрытого типа на ножках с сейфом, металл в полимере, 4 полки",31 280 ₽,Под заказ
,"Армед 7F-3A - концентратор кислорода с выходом для ингаляций, 3 л/мин",43 200 ₽,на складе
Legrin ,Дополнительный активный электрод E29,3 150 ₽,на складе
Arkodor ARB43  ,металлическая прикроватная тумбочка на ножках с 3 выдвижными ящиками,16 150 ₽,на складе
Saeyang Marathon Multi 600 DUO  ,бесщеточный зуботехнический микромотор с коленным/на...,34 500 ₽,Под заказ
LM Plastic Ligature Applicator ES  ,"инструмент для фиксации ортодонтических колец, ру...",Свяжитесь с нами насчёт цены,Под заказ
Anthogyr ,"Шприц карпульный, хромированный, ручная аспирация, прямая рукоятка",5 100 ₽,на складе
Zeiss ,Модуль TrueLight Mode,433 400 ₽,на складе
,ВЗМО СП-2 - стол палатный (600х600),3 260 ₽,на складе
,"Медторг+ ДП-2.03 - электрический бесщеточный микромотор, без внутреннего спрея, LED-п...",12 900 ₽,на складе
Ivoclar Vivadent IPS Object Fix Flow  ,"фиксирующая паста текучая, 10 мл",2 600 ₽,Под заказ
SAM MPS 100K  ,"комплект MPS Starter Kit, желтый",5 310 ₽,на складе
SAM ASP 515K Axiosplit  ,артикуляторный комплект S,21 700 ₽,на складе
Parker Hannifin ,Стойка мобильная,44 430 ₽,на складе
,"Топпер М1, серия «Старт», коллекция «Классика Плюс», синий",7 520 ₽,на складе
Centrix Accudose Tripack  ,"комплект канюль с поршнями для пистолетов и шприцев C-R, 3...",6 200 ₽,на складе
,Армед ZD-I - светильник медицинский хирургический,Свяжитесь с нами насчёт цены,Под заказ
SJK ,Наконечники для ручки электрошпателя с нагревательным элементом SJK 110 упак. 6 шт,200 ₽,Под заказ
,Касимовский Приборный Завод СЕ 110-2М - шкаф с выдвижными полками и облучателем бакте...,27 600 ₽,на складе
Ronvig DentoPrep ,"Адаптер ""B"" для Bien-Air",7 050 ₽,на складе
,Аверон ЭМП 1.0 ЦИРКОН - печь для синтеризации диоксида циркония,750 000 ₽,на складе
Codyson CD4861  ,"ультразвуковая мойка с подогревом, 6 л",20 010 ₽,на складе
SAM ART 620  ,"резцовый стержень SE, в комплекте",5 540 ₽,на складе
Anthogyr ,Струны для мостоснимателя 4х60 мм,1 780 ₽,Под заказ
KaVo ,"Фильтровальные мешки для SMARTair plus, 5 шт.",12 070 ₽,на складе
,"Армед ""Compact"" П - подставка пластиковая для 1-лампового рециркулятора",470 ₽,на складе
Ivoclar Vivadent Bluephase Style  ,"беспроводная светодиодная полимеризационная лампа,...",169 700 ₽,Под заказ
SAM ASP 514K Axiosplit  ,артикуляторный комплект N,21 700 ₽,на складе
Romax TM1 ,"плюс - стоматологический матрас, 225 м2",10 900 ₽,на складе
SAM MPS 101K  ,комплект для перехода с винтовой на магнитную фиксацию с использование...,3 440 ₽,на складе
,Аверон ЛЮКС 1.0 МИНИ НЬЮ - многофункциональный светодиодный светильник для столов МАСТЕР,19 900 ₽,на складе
Mercury JWX03  ,стоматологическая помпа для 3-х стоматологических установок,123 180 ₽,на складе
,"Амико Передник для защиты гонад Pb=0,35 детский (винил)",4 260 ₽,на складе
SAM ASP 582  Axiosplit ,магнит S,2 100 ₽,на складе
SAM ART 275  ,плоский резцовый столик,1 180 ₽,на складе
Amann Girrbach ,Приемная каретка Artex,19 060 ₽,на складе
Aesculap BB542  ,"скальпель №12 D, лезвие, двусторонняя заточка, стерильное (уп. 100 шт)",4 990 ₽,Под заказ
SAM ASP 350 Axiosplit  ,центрирующий инструмент II,64 710 ₽,на складе
DMax 3D MAX C&B  ,"биосовместимый фотополимер для постоянного ношения, 1 кг",25 560 ₽,на складе
JustVision by Semorr JVMA (G4 Semorr DOM4000) NEW  ,операционный микроскоп с плавным ...,1 500 000 ₽,в наличии
,"Аверон МОДЕЛЛЕР М 5.1 - насадка для электрошпателей АВЕРОН, форма - лопатка прямая",Свяжитесь с нами насчёт цены,Под заказ
SAM ART 540  ,вставки для суставного пути,7 970 ₽,на складе
SAM ASP 540 Axiosplit  ,"цокольная пластина S, из двух частей, для нижней части артику...",14 590 ₽,на складе
SAM ART 598  ,прозрачная упаковка для переноски артикулятора,5 240 ₽,на складе
SAM ART 394  ,определитель фронтальных зубов (для оттиска),8 010 ₽,на складе
Ultimaker 2 Go  ,мобильный 3D принтер для стоматологов,104 900 ₽,на складе
HLW ,"Пинцет анатомический, 14см",700 ₽,Под заказ
HLW ,"Распатор Williger, 16см, 5,0 мм",1 500 ₽,Под заказ
SAM ART 390 XYZ  ,плоскость,13 090 ₽,на складе
HLW 11151  ,щипцы для удаления зубов верхние корневые Байонеты,4 400 ₽,Под заказ
,"Аверон АВГЛ 2.0 ЭЛЕМЕНТ - локальная вытяжка для нейтрализации газов во время пайки, т...",37 500 ₽,на складе
SAM ATB 392  ,носовой упор,5 130 ₽,Под заказ
,"Ферропласт ВУ-12-Я-ФП-02 - ультразвуковая мойка, 21.5 л.",92 300 ₽,на складе
Ultimaker 3  ,профессиональный 3D принтер для стоматологов,287 520 ₽,на складе
SAM ASP 420  ,"монтажные пластины для Axiosplit, овальные, 20 шт.",4 900 ₽,на складе
SAM MSF 100K  ,комбинированный комплект для формирования магнитных разборных моделей ...,11 970 ₽,на складе
,Аверон УПЗ 7.2 НЬЮ - многофункциональный вытяжной комплекс для зуботехнических лабора...,38 900 ₽,на складе
Hahnenkratt ERGOform Explorer  ,"зонд, форма G 070, fig. 17, антрацит",1 460 ₽,в наличии
,"Медторг+ БЭУ-01.02 24В + ДП-2.02 - встраиваемый блок управления, с бесщеточным микром...",43 500 ₽,Под заказ
SAM ART 591  ,набор Axiosplint GS,34 600 ₽,на складе
Artinox ARC25S  ,"шкаф закрытого типа, металл в полимере, 4 полки",29 470 ₽,Под заказ
Ekom AOK 11  ,"набор для автоматического слива конденсата для DK50 PLUS (S), DK 50 2V (S)",8 570 ₽,на складе
HLW ,"Тросик для коронкоснимателя, 9 см",1 600 ₽,Под заказ
Ekom AOK 2  ,набор для автоматического слива конденсата для DK50 PLUS,13 850 ₽,на складе
SAM ART 605014  ,набор для замены крышки корпуса для 3,1 200 ₽,на складе
Dezaurum ,"Дез-6 - средство дезинфицирующее для поверхностей и оборудования, с отдушкой...",700 ₽,на складе
SAM ART 230  ,"суставной механизм, степень кривизны 2",11 220 ₽,на складе
Renfert ,"Нагревательная рукоятка, желтая",8 500 ₽,Под заказ
,Ферропласт ОБН-05-Я-ФП - облучатель УФ-бактерицидный двухламповый настенный,9 930 ₽,на складе
Mectron ADM8  ,адаптер для микромотора из набора Bone Expander,3 070 ₽,на складе
Ultimaker S5  ,профессиональный 3D принтер для стоматологов,525 360 ₽,на складе
,"Комплект стоматологической мебели, заказной",115 200 ₽,на складе
Dezaurum ,"Альфа-Септ - средство дезинфицирующее (кожный антисептик), с отдушкой, спрей...",240 ₽,на складе
Datum Dental OSSIX Plus 30 x 40 ,"мм - коллагеновая мембрана, большой размер",12 490 ₽,на складе
SAM ART 440  ,комплект для Беннета и суставного пути PX для артикулятора 2PX,16 350 ₽,на складе
Asiga MAX Build Tray  ,"встраиваемый лоток для принтера MAX, объём 5 л",28 300 ₽,Под заказ
Double White MChip Stickers  ,стикеры для комплексного лечения заболеваний пародонта...,840 ₽,в наличии
SAM MSF 509  ,"пины и втулки Axiopin, дополнительная упаковка, 1000 шт.",8 380 ₽,на складе
HLW 1610  ,насадка для коронкоснимателя,10 600 ₽,Под заказ
Ekom AOK 3  ,"набор для автоматического слива конденсата для DK50 2V/110, DK50 2x2V/110",38 400 ₽,на складе
Amazing White Premium X6 Professional Whitening Kit  ,набор для кабинетного отбеливан...,8 800 ₽,на складе
Enbio Enbio S  ,"компактный автоклав класса B, объем камеры 2.7 л",Свяжитесь с нами насчёт цены,Под заказ
SAM ASP 510K  ,"комплект Axiosplit стартовый набор S для 2P, 2PX и 3",38 530 ₽,на складе
Datum Dental OSSIX Bone 5 x 10 x 10 ,мм (0.5 cc) - костный материал (коллаген+гидрокси...,12 910 ₽,на складе
,Аверон КУЛЕР 2.0 БМ - устройство для локального обдува рабочей части инструмента борм...,8 000 ₽,на складе
Centrix Accudose (,высокая вязкость) - канюли с поршнями для пистолетов и шприцев сери...,6 500 ₽,на складе
,"Медторг+ ДП-3 - электрический щеточный микромотор, без внутреннего спрея, без подсвет...",13 790 ₽,на складе
Datum Dental OSSIX Volumax 15 x 25 ,мм - коллагеновый оссифицируемый каркас,14 830 ₽,на складе
SAM MSF 504  ,"конусные пины для керамики, 24 шт.",3 960 ₽,на складе
Asa Dental ,"Пинцет медицинский для удаления штифтов и обломков, прямой, 13 см",2 160 ₽,на складе
Renfert ,Универсальный адаптер для шланга для вытяжек Renfert,Свяжитесь с нами насчёт цены,Под заказ
Renfert ,"Воск моделировочный дентин, прозрачный GEO Classic Natural, 75 р",1 500 ₽,Под заказ
,"Армед 1-130 ПТ - облучатель-рециркулятор медицинский, пластиковый корпус, цвет белый,...",Свяжитесь с нами насчёт цены,Под заказ
Zeiss ,Устройство автоматической фокусировки к операционному микроскопу OPMI Zeiss,471 540 ₽,на складе
Renfert ,"Кисточки KOLINSKY для керамики, размер 6, комплект из 2 шт",6 400 ₽,Под заказ
Darta 1910  ,"стул-седло врача, с педалью, (C9) корал",28 320 ₽,на складе
Woodpecker US4  ,"насадка к аппарату Ultrasurgery DS-II LED, для разделения крупных уч...",3 900 ₽,Под заказ
SAM MSF 503  ,"боры Аксиопин 1,6 мм, 3 шт.",2 840 ₽,на складе
Dezaurum ,"Альфа-Септ - средство дезинфицирующее (кожный антисептик), с отдушкой, флако...",460 ₽,на складе
Ivoclar Vivadent ,Набор Cention N System Kit,7 800 ₽,Под заказ
Ivoclar Vivadent ,"Набор для контроля за температурой, для печей Programat",2 990 ₽,Под заказ
Dezaurum ,"Дез-1 - средство дезинфицирующее для поверхностей и оборудования, канистра, ...",2 450 ₽,на складе
3Shape E4  3D ,сканер стоматологический,Свяжитесь с нами насчёт цены,на складе
CMS Dental ,"Фотосенсибилизатор к Fotosan 630 во флаконах 5 шт. по 1,2 мл средней вязко...",7 230 ₽,на складе
Labomed ,Адаптер для смартфона,96 970 ₽,на складе
SAM ART 225  ,"суставной механизм, степень кривизны 1",11 220 ₽,на складе
Ekom AOK 3 S  ,"набор для автоматического слива конденсата для DK 50 2V/110 S, DK 50 2...",9 300 ₽,на складе
Double White MChip Capsules  ,капсулы для комплексного лечения заболеваний пародонта...,2 860 ₽,в наличии
,Аверон ЗОНТ 2.1 ЭПС - специализированный вытяжной зонт для ЭПС 2.1 М,10 900 ₽,на складе
Ekom AOK 4  ,набор для автоматического слива конденсата для DK 50 2V/50,12 130 ₽,на складе
SAM MSF 105  ,спрей-разделитель для гипса,560 ₽,на складе
Renfert ,"Круги складчатые (из бязи), полировальные, диаметр 100 мм, толщина 14 мм, 4 шт",3 990 ₽,Под заказ
,"Медторг+ ДП-2.02 - электрический бесщеточный микромотор, внутренний спрей, без подсве...",14 890 ₽,на складе
Asa Dental ,"Ложка слепочная нижняя малая (XS) с перфорацией с бортиками, с цветной код...",350 ₽,на складе
Artinox ARC224S  ,"шкаф закрытого типа на ножках с сейфом, металл в полимере, 4 полки",29 670 ₽,Под заказ
Nopa Instruments ,"Шпатель для смешивания цемента, широкий",800 ₽,Под заказ
Mercury 888  ,"хирургический наконечник, 1:1, внешнее и внутреннее охлаждение, с фибро...",18 990 ₽,на складе
SAM MSF 121  ,"магниты для MSF, 20 шт.",1 760 ₽,на складе
SAM ART 535  ,пластиковая крышка корпуса для 3,3 370 ₽,на складе
SAM MSF 450K  ,вспомогательный набор для формирования магнитных разборных моделей Spl...,7 860 ₽,на складе
Datum Dental OSSIX Volumax 25 x 30 ,мм - коллагеновый оссифицируемый каркас,19 230 ₽,на складе
SAM ASP 509K  ,комплект Axiosplit Starter Kit N,59 440 ₽,на складе
Ultimaker 2 +  ,профессиональный 3D принтер для стоматологов,183 220 ₽,на складе
Dezaurum ,"жидкое мыло, без отдушки, диспенсопак, 1000 мл",380 ₽,на складе
Ekom AOK 2 S  ,"набор для автоматического слива конденсата для DK 50 PLUS S, DK 50 2VS",9 700 ₽,на складе
Woodpecker US1R  ,"насадка к аппарату Ultrasurgery DS-II LED, для горизонтальной остео...",4 990 ₽,Под заказ
DTE ,"Емкость для воды 900 мл для скалера (D6, UDS-L)",1 600 ₽,на складе
SAM ART 446  ,"направляющая Беннета PX синяя, одна пара для 2PX",2 880 ₽,на складе
,Спарк-Дон Микротерм-90П - вакуумная электропечь для обжига и прессования металлокерамики,290 000 ₽,Под заказ
SAM ART 491  ,приспособление для определения угла Стюарта по Наннини,25 810 ₽,на складе
DTE PD10  ,"насадка к скалеру DTE/NSK/SATELEC, пародонтологическая",1 700 ₽,Под заказ
3Shape TRIOS 3 Move  ,передвижной 3D сканер с технологией сверхбыстрого оптического с...,Свяжитесь с нами насчёт цены,Под заказ
Refine Swan  ,беспроводная светодиодная полимеризационная лампа,37 200 ₽,в наличии
Artinox ARZ33  ,"Стул на гидравлическом подъемнике, цвет голубой",Свяжитесь с нами насчёт цены,Под заказ
,"Армед LINZ-8A - одноканальный шприцевой дозатор, объём шприцев 10-60 мл, скорость инф...",28 040 ₽,Под заказ
Datum Dental OSSIX Plus 25 x 30 ,"мм - коллагеновая мембрана, средний размер",10 150 ₽,на складе
,"Армед СН111-130 М/1 - облучатель-рециркулятор медицинский, металлический корпус, 1 ла...",3 390 ₽,на складе
SAM MSF 125  ,"ключ магнита для MSF, 3 шт.",560 ₽,на складе
,"Кронштейн пластик, диаметр 45 см",4 560 ₽,в наличии
SAM MSF 510  ,"пины и втулки Axiopin в упаковке Axiobox, 1000 шт.",9 350 ₽,на складе
Ekom AOK 4 S  ,набор для автоматического слива конденсата для DK 50 2V/50 S,10 430 ₽,на складе
,Плата управления и шланг,12 080 ₽,на складе
SAM MSF 120  ,"удерживающие магнитные кольца для магнитов MSF, 50 шт.",3 590 ₽,на складе
Artinox ARC25  ,"шкаф закрытого типа, металл в полимере, 4 полки",28 970 ₽,Под заказ
Renfert ,"Кисточка GENIUS для керамики, размер 6",6 400 ₽,Под заказ
"Datum Dental OSSIX Volumax 10 x 12,5 ",мм - коллагеновый оссифицируемый каркас,11 540 ₽,на складе
Mercury ,"Кожух из МДФ, для стоматологических компрессоров ND-70 и ND-100",12 880 ₽,Под заказ
SAM ART 520  ,"резцовый стержень IIIP, в комплекте",5 950 ₽,на складе
SAM ART 547  ,"направляющие Беннета, комплект II",8 230 ₽,на складе
Renfert ,"Формы для цоколей моделей Pin-Cast и Set, 17,5 мм",13 600 ₽,Под заказ
Renfert ,"Диски шлифовальные, диаметр 25 x 3 мм, 100 шт",5 600 ₽,Под заказ
SAM ART 580  ,"столик для измерения окклюзионной плоскости, изогнутый",2 260 ₽,на складе
,"Медторг+ ДП-4 - электрический щеточный микромотор, без внутреннего спрея, без подсвет...",15 900 ₽,на складе
Artinox ARC1  ,"шкаф закрытого типа, металл в полимере, 4 полки",17 040 ₽,Под заказ
Philips HeartStart Metal Wall Mount  ,настенное металлическое крепление для дефибрилл...,12 590 ₽,на складе
VDW GOLD RECIPROC  ,"эндомотор с функцией RECIPROC, апекслокатором и наконечником Siro...",289 000 ₽,на складе
VDW ,"Насадка 002, для GuttaCut",1 660 ₽,на складе
Runyes ,Блок беспроводной для интраоральной камеры,15 080 ₽,на складе
SAM MPS 111  ,центрирующий инструмент,1 720 ₽,на складе
,"Аванта А-04Б (горизонтальный) - бактерицидный рециркулятор, пульт управления, металли...",Свяжитесь с нами насчёт цены,Под заказ
Renfert ,Воск моделировочный GEO Expert A. Bruguera,12 700 ₽,Под заказ
Ivoclar Vivadent IPS Classic Dentin 340  ,"дентиновая масса, 20 г",3 400 ₽,Под заказ
SAM ASP 425  ,"монтажные пластины для Axiosplit, круглые, 20 шт.",2 430 ₽,на складе
Medenta Instruments ,"Завеса резиновая ""Раббер дам"" Медента черная/тонкая",660 ₽,на складе
VDW ,"Насадка 004, для GuttaCut",1 660 ₽,на складе
SAM ART 544  ,винт,750 ₽,на складе
Nopa Instruments ,"Ретрактор для щек SIMPLEX, 11 см",1 990 ₽,Под заказ
IcanClave STE29D  ,"автоматический автоклав класса B с вакуумной сушкой, с удлиненно...",254 400 ₽,на складе
SAM ART 113  ,набор для крепления монтажных плат (рамочный винт+ключ),1 720 ₽,на складе
Anthogyr ,"Струны для мостоснимателя, 4х150 мм",2 460 ₽,на складе
SAM MSF 520K  ,"пины и втулки Axiopin комплект (200 штифтов и втулок, 1 сверло)",3 370 ₽,на складе
Darta 1910  ,"стул-седло врача, подлокотники с фиксацией, с педалью, (С9) корал",41 830 ₽,на складе
,"Элид ОБН-150 Азов - облучатель бактерицидный, настенный, комбинированный, 2x30 Вт",3 500 ₽,на складе
Artinox ARC24  ,"шкаф закрытого типа-стеллаж, металл в полимере, 4 полки",26 970 ₽,Под заказ
DMax 3D MAX SG  ,"биосовместимый фотополимер для хирургических шаблонов, 1 кг",25 060 ₽,на складе
Woodpecker ,Защитный экран #1 для полимеризационных ламп Woodpecker,600 ₽,Под заказ
Dezaurum ,"Альфа-Септ - средство дезинфицирующее (кожный антисептик), с отдушкой, флако...",560 ₽,на складе
DTE ,Измерительные провода для цифрового апекслокатора DPEX,2 200 ₽,Под заказ
Dezaurum ,"Альфа-Септ - средство дезинфицирующее (кожный антисептик), без отдушки, спре...",220 ₽,на складе
Aesculap DB020R  ,"распатор по PRICHARD, ERGOPERIO, длина 195 мм",7 800 ₽,Под заказ
SAM MSF 110  ,адгезивные пластины с ретенционными пазами для магнитного формирователя...,2 130 ₽,на складе
VDW ,"Насадка 003, для GuttaCut",1 660 ₽,на складе
SAM ART 541  ,"вставка суставного пути, степень кривизны 1, цвет белый, 1 пара",3 890 ₽,на складе
,Армед Invacare Perfecto2 - концентратор кислорода,Свяжитесь с нами насчёт цены,Под заказ
DMax 3D MAX Temp  ,"биосовместимый фотополимер для временного ношения, 1 кг",22 050 ₽,на складе
,"Ферропласт ВУ-12-Я-ФП-04-3 - ультразвуковая мойка, 27.5 л., авторежим, с возможностью...",Свяжитесь с нами насчёт цены,Под заказ
SAM ART 525  ,опорный штифт для 2PX и 3,2 620 ₽,на складе
Dezaurum ,"Альфа-Септ - средство дезинфицирующее (кожный антисептик), без отдушки, дисп...",780 ₽,на складе
CMS Dental ,"Фотосенсибилизатор к Fotosan 630 во флаконах 5 шт. по 1,2 мл высокой вязко...",7 420 ₽,на складе
SAM ART 542  ,"вставка суставного пути, степень кривизны 2, зеленый",3 890 ₽,на складе
HLW ,"Пинцет обратный 12,5 см, H-321A*",1 600 ₽,Под заказ
SAM ASP 530 Axiosplit  ,"цокольная пластина S, из одной части для верхней части артику...",8 980 ₽,на складе
,Медторг+ Шланг турбинный М4,4 700 ₽,на складе
Artinox ARC235S  ,"шкаф закрытого типа-стеллаж на ножках, металл в полимере, 4 полки",19 050 ₽,Под заказ
,"МедТекс.рф Ортопедический подголовник 8, коллекция «Классика Плюс», синий",1 430 ₽,на складе
,Аверон МС 4.3 С - струйный модуль тонкой очистки для пескоструйных аппаратов,16 900 ₽,на складе
Eschenbach 33263  ,"зуботехнический стереомикроскоп с LED подсветкой, на металлическом...",109 390 ₽,на складе
Ivoclar Vivadent IPS Ceramic Etching Gel  ,"гель для травления керамики, 5 мл",3 500 ₽,Под заказ
Nouvag 31SE  ,микромотор для TCM Endo III,37 150 ₽,на складе
Asa Dental ,"Ножницы прямые узкие (золотая серия), 13 см",4 330 ₽,на складе
Renfert ,Подставка для Twister,25 600 ₽,Под заказ
Renfert ,Фильтр для чистки воздуха,1 600 ₽,Под заказ
Medenta Instruments ,"Завеса резиновая ""Раббер дам"" Медента натуральная/толстая",1 450 ₽,на складе
,"Амико Юбка рентгенозащитная Pb=0,5 взрослая (резина)",12 380 ₽,на складе
Saeyang SDE  BM50S1  ,"наконечник зуботехнический, бесщеточный (50000 об/мин)",Свяжитесь с нами насчёт цены,Под заказ
Appollo I  ,стоматологическая установка с нижней подачей инструментов,214 330 ₽,на складе
SAM ASP 451 Axiosplit  ,двойной матричный формирователь,19 830 ₽,на складе
Revyline RL 450 Black  ,портативный ирригатор,Свяжитесь с нами насчёт цены,Под заказ
SAM ART 526  ,наклонные опоры (две штуки) для 2PX и 3,1 420 ₽,на складе
Renfert ,"Диск отрезной, армированный, из стекловолокна. Dynex, 40х0.5 мм",130 ₽,Под заказ
Artinox ARC234  ,"шкаф открытого типа-стеллаж, металл в полимере, 4 полки",17 340 ₽,Под заказ
Renfert ,"Кисточка CERAMICUS, размер 6, 1 шт",2 100 ₽,Под заказ
SAM ASP 539 Axiosplit  ,"цокольная пластина N, состоит из двух частей",14 590 ₽,на складе
HLW ,"Щипцы Янга для формирования петель, 14 см",2 800 ₽,Под заказ
Adec ,Подлокотники для стула врача 421 и 521,Свяжитесь с нами насчёт цены,Под заказ
SAM ART 435  ,"фиксатор суставных голов артикулятора, 2 шт.",3 370 ₽,на складе
